NISN,Nama Siswa,Tempat Lahir,Tanggal Lahir,Orang Tua/Wali,Status
1234567890,Ahmad Ridho Pratama,Kuala Pembuang,2012-03-15,Budi Santoso,lulus
1234567891,Siti Nurhaliza,Kuala Pembuang,2012-05-20,Ahmad Wijaya,lulus
1234567892,Budi Santoso,Kuala Pembuang,2012-07-10,Sugeng Riyanto,belum
1234567893,Dina Kusuma Sari,Kuala Pembuang,2012-08-25,Suhardi,lulus
1234567894,Eka Pratama,Kuala Pembuang,2012-09-12,Bambang Irawan,lulus
1234567895,Farah Aninda,Kuala Pembuang,2012-04-08,Hendra Santoso,lulus
1234567896,Gilang Maulana,Kuala Pembuang,2012-06-30,Yusuf Hadi,belum
1234567897,Hana Wijaya,Kuala Pembuang,2012-10-15,Rini Wijaya,lulus
1234567898,Indra Gunawan,Kuala Pembuang,2012-02-22,Gunawan Triyanto,lulus
1234567899,Juwita Lestari,Kuala Pembuang,2012-11-18,Lastri Budi,lulus
